Business ID,Business name,Store ID,Store name,Merchant store ID,Payout date,Currency,Channel,Subtotal,Subtotal tax passed to merchant,Commission,Payment processing fee,Marketing fees | (including any applicable taxes),Customer discounts from marketing | (funded by you),Customer discounts from marketing | (funded by DoorDash),Customer discounts from marketing | (funded by a third-party),DoorDash marketing credit,Third-party contribution,Marketing fees (for historical reference only) | (all discounts and fees),Marketing fee tax (for historical reference only) | (taxes on any applicable marketing fees),Ad fee (for historical reference only),Ad fee tax (for historical reference only),Error charges,Adjustments,Net total,Subtotal for tax,Subtotal tax remitted by DoorDash to tax authorities,DoorDash funded subtotal discount amount | (for historical reference only),Merchant funded subtotal discount amount | (for historical reference only),Payout ID,Payout status
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2025-12-15,USD,Storefront,13.28,0.00,0.00,-1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.25,13.28,-0.93,0.00,0.00,537610137,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2025-12-15,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.65,62.65,0.00,0.00,0.00,0.00,537610137,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2025-12-08,USD,Marketplace,12464.74,0.00,-1645.96,0.00,-524.67,-1724.87,-64.53,0.00,94.53,0.00,-1757.54,0.00,-492.00,0.00,-490.77,28.64,8137.11,10681.32,-747.71,64.53,1740.61,535797402,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2025-12-08,USD,Storefront,65.38,0.00,0.00,-4.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.80,65.38,-4.57,0.00,0.00,535797402,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2025-12-08,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.17,36.17,0.00,0.00,0.00,0.00,535797402,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2025-12-01,USD,Marketplace,7161.72,0.00,-947.86,0.00,-324.54,-989.45,-48.93,0.00,48.93,0.00,-1034.99,0.00,-279.00,0.00,-138.71,180.15,4941.31,6129.32,-429.14,48.93,989.45,534019030,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2025-12-01,USD,Storefront,72.41,0.00,0.00,-3.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.77,72.41,-5.06,0.00,0.00,534019030,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2025-12-01,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.69,57.69,0.00,0.00,0.00,0.00,534019030,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2025-11-24,USD,Marketplace,11494.37,0.00,-1418.86,0.00,-692.82,-2305.06,-27.01,0.00,66.01,0.00,-2520.88,0.00,-477.00,0.00,-265.15,124.68,6976.16,9168.29,-641.76,27.01,2324.84,532253998,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2025-11-24,USD,Storefront,43.14,0.00,0.00,-2.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.46,43.14,-3.02,0.00,0.00,532253998,PAID
